Indivíduo,cereais,leites,frutas,cereais,leguminosas,verduras,carnes,ovos,bebidas,verduras,pescados,leites,verduras,gorduras,frutas,Concentração,Custo,Energia Total
18,"Pipoca, com óleo de soja, sem sal","Queijo, petit suisse, morango","Goiaba, doce em pasta","Creme de milho, pó","Grão-de-bico, cru","Palmito, pupunha, em conserva","Frango, coxa, sem pele, cozida","Ovo, de galinha, clara, cozida/10minutos","Coco, água de","Mandioca, frita","Corimba, cru","Leite, de vaca, integral, pó","Tomate, purê","Óleo, de girassol","Uva, Rubi, crua",-2.5555555555555554,31.866999999999997,2429.1449999999995
19,"Cereal matinal, milho, açúcar","Queijo, requeijão, cremoso","Goiaba, doce em pasta","Biscoito, doce, recheado com chocolate","Amendoim, torrado, salgado","Manjericão, cru","Carne, bovina, capa de contra-filé, com gordura, crua","Omelete, de queijo","Cerveja, pilsen 2","Farinha, de mandioca, torrada","Dourada de água doce, fresca","Leite, condensado","Jurubeba, crua","Óleo, de girassol","Maracujá, cru",-2.6,35.211,2421.231
20,"Farinha, de arroz, enriquecida","Leite, condensado","Açaí, polpa, congelada","Macarrão, instantâneo","Feijão, jalo, cru","Pimentão, amarelo, cru","Carne, bovina, charque, cozido","Omelete, de queijo","Cana, aguardente 1","Farinha, de mandioca, crua","Pescada, filé, com farinha de trigo, frito","Leite, de vaca, integral, pó","Tomate, molho industrializado","Óleo, de girassol","Manga, Tommy Atkins, crua",-2.6666666666666665,40.48,2424.45
21,"Macarrão, trigo, cru","Leite, condensado","Abacate, cru","Farinha, láctea, de cereais","Feijão, jalo, cozido","Quiabo, cru","Carne, bovina, acém, sem gordura, cru","Ovo, de galinha, clara, cozida/10minutos","Cana, aguardente 1","Feijão, broto, cru","Cação, posta, com farinha de trigo, frita","Queijo, requeijão, cremoso","Mandioca, cozida","Óleo, de milho","Caqui, chocolate, cru",-2.7333333333333334,56.727,3111.1590000000006
22,"Pastel, massa, crua","Iogurte, sabor pêssego","Tucumã, cru","Farinha, láctea, de cereais","Grão-de-bico, cru","Salsa, crua","Carne, bovina, acém, moído, cru","Ovo, de galinha, inteiro, cru","Maracujá, suco concentrado, envasado","Berinjela, cozida","Abadejo, filé, congelado, assado","Queijo, requeijão, cremoso","Couve-flor, crua","Óleo, de milho","Abiu, cru",-2.8,58.92700000000001,2542.234
23,"Farinha, de milho, amarela","Leite, de vaca, integral","Ameixa, calda, enlatada","Bolo, pronto, coco","Amendoim, torrado, salgado","Cebola, crua","Carne, bovina, costela, crua","Omelete, de queijo","Coco, água de","Batata, baroa, cozida","Pescada, filé, com farinha de trigo, frito","Queijo, minas, frescal","Farinha, de mandioca, torrada","Óleo, de milho","Manga, Tommy Atkins, crua",-2.333333333333333,24.926000000000002,3863.698
24,"Lasanha, massa fresca, cozida","Iogurte, sabor pêssego","Pequi, cru","Canjica, com leite integral","Feijão, carioca, cru","Caruru, cru","Carne, bovina, patinho, sem gordura, cru","Omelete, de queijo","Uva, suco concentrado, envasado","Mandioca, frita","Corimba, cru","Queijo, mozarela","Quiabo, cru","Óleo, de girassol","Uva, Rubi, crua",-2.466666666666667,26.642000000000003,3058.448
25,"Cereais, milho, flocos, sem sal","Queijo, pasteurizado","Ciriguela, crua","Cereal matinal, milho, açúcar","Amendoim, torrado, salgado","Alface, americana, crua","Frango, fígado, cru","Ovo, de galinha, clara, cozida/10minutos","Café, infusão 10%","Cará, cozido","Abadejo, filé, congelado, assado","Queijo, minas, meia cura","Rabanete, cru","Azeite, de oliva, extra virgem","Banana, doce em barra",-2.533333333333333,32.989,2743.8549999999996
26,"Biscoito, doce, maisena","Queijo, pasteurizado","Fruta-pão, crua","Pipoca, com óleo de soja, sem sal","Feijão, roxo, cru","Beterraba, crua","Carne, bovina, picanha, sem gordura, grelhada","Ovo, de galinha, clara, cozida/10minutos","Café, infusão 10%","Polvilho, doce","Corvina grande, assada","Iogurte, sabor pêssego","Manjericão, cru","Óleo, de girassol","Cajá-Manga, cru",-2.6666666666666665,41.64600000000001,2560.8729999999996
27,"Pastel, massa, frita","Queijo, minas, meia cura","Jambo, cru","Farinha, de rosca","Amendoim, torrado, salgado","Chuchu, cozido","Carne, bovina, fraldinha, com gordura, crua","Ovo, de galinha, inteiro, frito","Tangerina, Poncã, suco","Abobrinha, italiana, refogada","Bacalhau, salgado, refogado",Creme de Leite,"Manjericão, cru","Óleo, de girassol","Melão, cru",-2.7333333333333334,62.31500000000001,2766.9389999999994
28,"Lasanha, massa fresca, cozida","Leite, de vaca, desnatado, pó","Tamarindo, cru","Pastel, massa, crua","Feijão, jalo, cru","Caruru, cru","Empada, de frango, pré-cozida","Ovo, de galinha, clara, cozida/10minutos","Laranja, baía, suco","Repolho, branco, cru","Salmão, filé, com pele, fresco,  grelhado",Creme de Leite,"Almeirão, refogado","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Maçã, Argentina, com casca, crua",-2.8,64.14099999999999,2724.893
29,"Farinha, de arroz, enriquecida","Bebida láctea, pêssego","Goiaba, doce em pasta","Pastel, de carne, frito","Feijão, rajado, cozido","Manjericão, cru","Carne, bovina, patinho, sem gordura, cru","Omelete, de queijo","Uva, suco concentrado, envasado","Rúcula, crua","Dourada de água doce, fresca","Iogurte, sabor morango","Batata, inglesa, crua","Óleo, de girassol","Açaí, polpa, com xarope de guaraná e glucose",-2.283333333333333,27.378999999999998,2881.46
30,"Farinha, de centeio, integral","Iogurte, sabor morango","Cacau, cru","Milho, fubá, cru","Feijão, roxo, cozido","Polvilho, doce","Frango, coxa, sem pele, cozida","Omelete, de queijo","Laranja, pêra, suco","Mandioca, frita","Sardinha, inteira, crua","Leite, de cabra","Nhoque, batata, cozido","Óleo, de milho","Cacau, cru",-2.333333333333333,28.698999999999998,4391.598999999999
31,"Canjica, com leite integral","Queijo, prato","Goiaba, vermelha, com casca, crua","Bolo, pronto, chocolate","Ervilha, em vagem","Cebola, crua","Carne, bovina, músculo, sem gordura, cozido","Ovo, de galinha, clara, cozida/10minutos","Coco, água de","Jurubeba, crua","Bacalhau, salgado, refogado","Leite, de vaca, integral, pó","Acelga, crua","Óleo, de girassol","Pêssego, enlatado, em calda",-2.35,29.139,2412.852
32,"Farinha, de milho, amarela","Queijo, mozarela","Atemóia, crua","Milho, fubá, cru","Feijão, carioca, cozido","Cebola, crua","Frango, coxa, sem pele, cozida","Omelete, de queijo","Laranja, valência, suco","Mandioca, frita","Pescada, branca, frita","Iogurte, sabor abacaxi","Nhoque, batata, cozido","Azeite, de oliva, extra virgem","Pitanga, crua",-2.4,34.32,5231.543999999999
33,"Pipoca, com óleo de soja, sem sal","Queijo, parmesão","Ameixa, em calda, enlatada, drenada","Pastel, de carne, frito","Feijão, jalo, cozido","Quiabo, cru","Carne, bovina, costela, assada","Omelete, de queijo","Bebida isotônica, sabores variados","Feijão, broto, cru","Corimba, cru","Leite, de vaca, integral, pó","Manjericão, cru","Óleo, de pequi","Maracujá, cru",-2.533333333333333,35.024,2417.2999999999997
34,"Farinha, de trigo","Leite, condensado","Açaí, polpa, congelada","Milho, verde, cru","Feijão, roxo, cru","Quiabo, cru","Frango, peito, sem pele, cozido","Omelete, de queijo","Refrigerante, tipo água tônica","Feijão, broto, cru","Cação, posta, com farinha de trigo, frita","Queijo, requeijão, cremoso","Cará, cozido","Óleo, de babaçu","Uva, Rubi, crua",-2.6,43.43900000000001,2442.448
35,"Arroz, tipo 2, cozido","Queijo, petit suisse, morango","Goiaba, doce em pasta","Pastel, de queijo, cru","Ervilha, em vagem","Chicória, crua","Frango, coxa, sem pele, cozida","Ovo, de galinha, clara, cozida/10minutos","Coco, água de","Mandioca, frita","Bacalhau, salgado, refogado","Leite, de vaca, integral, pó","Tomate, purê","Óleo, de girassol","Uva, Rubi, crua",-2.6666666666666665,51.392,2434.281
36,"Pipoca, com óleo de soja, sem sal","Iogurte, natural, desnatado","Tamarindo, cru","Pipoca, com óleo de soja, sem sal","Feijão, roxo, cru","Espinafre, Nova Zelândia, refogado","Empada de frango, pré-cozida, assada","Ovo, de galinha, inteiro, cru","Uva, suco concentrado, envasado","Quiabo, cru","Pescadinha, crua",Creme de Leite,"Manjericão, cru","Óleo, de pequi","Kiwi, cru",-2.8,67.375,3377.149
37,"Pão, glúten, forma","Iogurte, sabor pêssego","Ameixa, em calda, enlatada, drenada","Pastel, de carne, frito","Feijão, rosinha, cozido","Taioba, crua","Carne, bovina, costela, assada","Omelete, de queijo","Bebida isotônica, sabores variados","Quiabo, cru","Pescada, branca, frita","Leite, de vaca, integral, pó","Nhoque, batata, cozido","Óleo, de pequi","Mexerica, Murcote, crua",-2.102380952380952,31.514999999999993,2424.53
38,"Macarrão, instantâneo","Iogurte, natural","Ameixa, calda, enlatada","Bolo, pronto, coco","Feijão, rosinha, cozido","Cebola, crua","Croquete, de carne, frito","Omelete, de queijo","Coco, água de","Batata, baroa, cozida","Pescadinha, crua","Queijo, minas, frescal","Farinha, de mandioca, torrada","Azeite, de dendê","Umbu, cru",-2.4,34.617,2475.3900000000003
39,"Canjica, com leite integral","Queijo, parmesão","Ameixa, em calda, enlatada, drenada","Cereais, milho, flocos, sem sal","Tremoço, em conserva","Taioba, crua","Frango, coxa, sem pele, crua","Ovo, de galinha, clara, cozida/10minutos","Refrigerante, tipo limão","Cará, cozido","Pescada, branca, frita","Iogurte, sabor morango","Pepino, cru","Azeite, de dendê","Goiaba, doce, cascão",-2.40952380952381,35.827,2436.3810000000003
40,"Pipoca, com óleo de soja, sem sal",Creme de Leite,"Açaí, polpa, congelada","Creme de milho, pó","Grão-de-bico, cru","Cenoura, cozida","Carne, bovina, miolo de alcatra, sem gordura, cru","Ovo, de galinha, inteiro, frito","Limão, galego, suco","Almeirão, refogado","Cação, posta, com farinha de trigo, frita","Queijo, requeijão, cremoso","Abóbora, cabotian, crua","Óleo, de girassol","Abacaxi, polpa, congelada",-2.533333333333333,39.63300000000001,2410.436
41,"Farinha, de arroz, enriquecida","Leite, fermentado","Pequi, cru","Bolo, pronto, coco","Amendoim, grão, cru","Taioba, crua","Carne, bovina, coxão mole, sem gordura, cru","Ovo, de galinha, clara, cozida/10minutos","Limão, galego, suco","Tomate, purê","Cação, posta, com farinha de trigo, frita","Queijo, petit suisse, morango","Pepino, cru","Óleo, de girassol","Goiaba, doce, cascão",-2.6,44.36300000000001,2412.248
42,"Cereais, mingau, milho, infantil","Queijo, requeijão, cremoso","Laranja, lima, crua","Bolo, mistura para","Feijão, carioca, cru","Espinafre, Nova Zelândia, refogado","Carne, bovina, flanco, sem gordura, cozido","Ovo, de galinha, inteiro, cozido/10minutos","Café, infusão 10%","Mandioca, frita","Pescada, branca, frita",Creme de Leite,"Tomate, purê","Azeite, de dendê","Tamarindo, cru",-2.6666666666666665,62.062,2486.196
43,"Biscoito, doce, maisena","Iogurte, natural, desnatado","Fruta-pão, crua","Pipoca, com óleo de soja, sem sal","Feijão, roxo, cru","Beterraba, cozida","Empada de frango, pré-cozida, assada","Ovo, de galinha, inteiro, cozido/10minutos","Uva, suco concentrado, envasado","Jurubeba, crua","Corvina grande, assada",Creme de Leite,"Manjericão, cru","Óleo, de girassol","Cajá-Manga, cru",-2.7333333333333334,70.334,3569.252
44,"Cereais, mistura para vitamina, trigo, cevada e aveia","Leite, condensado","Goiaba, vermelha, com casca, crua","Cereal matinal, milho, açúcar","Feijão, jalo, cru","Cenoura, crua","Carne, bovina, charque, cozido","Ovo, de galinha, gema, cozida/10minutos","Cana, aguardente 1","Batata, frita, tipo chips, industrializada","Pescada, filé, com farinha de trigo, frito",Creme de Leite,"Fécula, de mandioca","Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)","Açaí, polpa, com xarope de guaraná e glucose",-2.8,81.664,3981.4689999999996
45,"Cereais, mingau, milho, infantil","Leite, de vaca, desnatado, UHT","Jambo, cru","Cereal matinal, milho, açúcar","Tremoço, em conserva","Mandioca, crua","Porco, rabo, salgado, cru","Omelete, de queijo","Limão, galego, suco","Cenoura, cozida","Corimbatá, assado","Leite, condensado","Alface, americana, crua","Azeite, de dendê","Ciriguela, crua",-1.6738095238095239,31.757,2411.868
46,"Arroz, tipo 1, cozido","Iogurte, natural","Goiaba, doce em pasta","Pastel, de queijo, frito","Feijão, rosinha, cozido","Chicória, crua","Frango, coxa, sem pele, cozida","Omelete, de queijo","Bebida isotônica, sabores variados","Mandioca, frita","Cação, posta, com farinha de trigo, frita","Leite, de vaca, desnatado, UHT","Nhoque, batata, cozido","Azeite, de oliva, extra virgem","Umbu, cru",-2.4,34.914,3750.4049999999997
47,"Biscoito, doce, wafer, recheado de chocolate","Queijo, requeijão, cremoso","Tangerina, Poncã, crua","Pipoca, com óleo de soja, sem sal","Soja, farinha","Beterraba, crua","Carne, bovina, seca, cozida","Ovo, de galinha, clara, cozida/10minutos","Refrigerante, tipo limão","Mandioca, frita","Camarão, Sete Barbas, sem cabeça, com casca, frito","Iogurte, sabor pêssego","Tomate, molho industrializado","Óleo, de girassol","Pêra, Park, crua",-2.466666666666667,40.172,2787.894999999999
48,"Cereais, mingau, milho, infantil","Leite, de vaca, desnatado, UHT","Goiaba, vermelha, com casca, crua","Lasanha, massa fresca, cozida","Feijão, rosinha, cru","Alho-poró, cru","Carne, bovina, acém, moído, cru","Omelete, de queijo","Limão, galego, suco","Cará, cru","Salmão, filé, com pele, fresco,  grelhado","Queijo, mozarela","Mandioca, crua","Óleo, de milho","Maçã, Argentina, com casca, crua",-2.6,46.079,2413.3399999999997
49,"Cereais, mingau, milho, infantil","Queijo, minas, frescal","Goiaba, branca, com casca, crua","Pastel, de carne, frito","Amendoim, torrado, salgado","Espinafre, Nova Zelândia, refogado","Carne, bovina, costela, assada","Ovo, de galinha, inteiro, frito","Uva, suco concentrado, envasado","Quiabo, cru","Pescada, branca, frita",Creme de Leite,"Cará, cozido","Óleo, de pequi","Tamarindo, cru",-2.6666666666666665,62.821000000000005,3117.6800000000003
50,"Torrada, pão francês","Bebida láctea, pêssego","Acerola, crua","Mingau tradicional, pó","Feijão, rosinha, cozido","Mandioca, crua","Carne, bovina, contra-filé de costela, cru","Ovo, de galinha, gema, cozida/10minutos","Chá, erva-doce, infusão 5%","Beterraba, crua","Cação, posta, com farinha de trigo, frita","Queijo, ricota","Batata, doce, cozida","Óleo, de girassol","Romã, crua",-2.666666666666667,74.25000000000001,2704.786
51,"Pipoca, com óleo de soja, sem sal","Queijo, parmesão","Jabuticaba, crua","Pastel, de carne, frito","Feijão, jalo, cozido","Quiabo, cru","Carne, bovina, costela, assada","Omelete, de queijo","Refrigerante, tipo limão","Feijão, broto, cru","Corimba, cru",Creme de Leite,"Abóbora, pescoço, crua","Manteiga, com sal","Jambo, cru",-2.7333333333333334,80.32200000000002,2866.77
52,"Pastel, massa, frita","Iogurte, natural, desnatado","Fruta-pão, crua","Farinha, de rosca","Feijão, roxo, cru","Polvilho, doce","Carne, bovina, fraldinha, com gordura, crua","Ovo, de galinha, inteiro, cozido/10minutos","Limão, galego, suco","Abobrinha, italiana, refogada","Cação, posta, com farinha de trigo, frita",Creme de Leite,"Manjericão, cru","Óleo, de girassol","Cajá-Manga, cru",-2.8,119.713,3980.0810000000006
53,"Pipoca, com óleo de soja, sem sal","Leite, de vaca, integral, pó","Umbu, cru","Pipoca, com óleo de soja, sem sal","Tremoço, em conserva","Mandioca, cozida","Croquete, de carne, cru","Ovo, de galinha, clara, cozida/10minutos","Bebida isotônica, sabores variados","Mostarda, folha, crua","Pintado, assado","Iogurte, sabor abacaxi","Abobrinha, italiana, refogada","Óleo, de milho","Umbu, cru",-2.4,35.38700000000001,2417.635
54,"Bolo, pronto, aipim","Queijo, parmesão","Açaí, polpa, congelada","Creme de milho, pó","Amendoim, torrado, salgado","Mostarda, folha, crua","Carne, bovina, picanha, sem gordura, grelhada","Omelete, de queijo","Coco, água de","Mandioca, frita","Pescada, filé, com farinha de trigo, frito","Queijo, mozarela","Tomate, purê","Óleo, de girassol","Manga, Tommy Atkins, crua",-2.466666666666667,40.19400000000001,2585.3190000000004
55,"Pão, glúten, forma","Iogurte, sabor pêssego","Ameixa, em calda, enlatada, drenada","Pão, milho, forma","Feijão, rosinha, cozido","Chuchu, cozido","Lingüiça, frango, crua","Omelete, de queijo","Cana, aguardente 1","Quiabo, cru","Pescada, branca, frita","Iogurte, sabor abacaxi","Alho-poró, cru","Óleo, de milho","Mexerica, Murcote, crua",-2.533333333333333,47.025000000000006,3529.956
56,"Lasanha, massa fresca, cozida","Iogurte, sabor morango","Ameixa, em calda, enlatada, drenada","Pastel, de carne, frito","Feijão, jalo, cru","Pão, de queijo, assado","Carne, bovina, coxão mole, sem gordura, cru","Omelete, de queijo","Limão, cravo, suco","Farinha, de mandioca, crua","Salmão, filé, com pele, fresco,  grelhado","Leite, de vaca, integral, pó","Cará, cru","Óleo, de girassol","Laranja, da terra, crua",-2.6,48.422000000000004,2405.2780000000002
57,"Curau, milho verde","Queijo, parmesão","Pequi, cru","Pastel, massa, crua","Soja, extrato solúvel, pó","Mandioca, frita","Empada de frango, pré-cozida, assada","Ovo, de galinha, inteiro, cozido/10minutos","Coco, água de","Coentro, folhas desidratadas","Atum, fresco, cru",Creme de Leite,"Almeirão, refogado","Óleo, de girassol","Cajá-Manga, cru",-2.6666666666666665,74.954,3135.6679999999997
58,"Curau, milho verde","Leite, de vaca, desnatado, pó","Pequi, cru","Pastel, massa, crua","Feijão, roxo, cru","Alface, americana, crua","Carne, bovina, flanco, sem gordura, cru","Ovo, de galinha, inteiro, cozido/10minutos","Laranja, baía, suco","Repolho, branco, cru","Atum, fresco, cru",Creme de Leite,"Almeirão, refogado","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Cajá-Manga, cru",-2.685714285714286,81.818,2626.951
59,"Pastel, massa, crua","Queijo, minas, meia cura","Banana, figo, crua","Pastel, de queijo, frito","Grão-de-bico, cru","Mandioca, farofa, temperada","Frango, fígado, cru","Ovo, de galinha, clara, cozida/10minutos","Laranja, valência, suco","Batata, inglesa, frita","Corimbatá, assado","Queijo, minas, meia cura","Rabanete, cru","Óleo, de girassol","Banana, da terra, crua",-2.7333333333333334,91.14599999999999,2627.1189999999997
60,"Macarrão, trigo, cru","Leite, condensado","Laranja, baía, crua","Cereal matinal, milho, açúcar","Amendoim, torrado, salgado","Cebola, crua","Presunto, com capa de gordura","Omelete, de queijo","Limão, galego, suco","Chicória, crua","Corvina de água doce, crua","Leite, fermentado","Pimentão, vermelho, cru","Óleo, de babaçu","Ameixa, calda, enlatada",-2.283333333333333,35.772000000000006,2460.364
61,"Cereal matinal, milho","Iogurte, sabor pêssego","Pequi, cru","Pão, glúten, forma","Paçoca, amendoim","Pimentão, amarelo, cru",Apresuntado,"Omelete, de queijo","Coco, água de","Abobrinha, italiana, cozida","Cação, posta, com farinha de trigo, frita","Queijo, mozarela","Abóbora, cabotian, crua","Azeite, de oliva, extra virgem","Abacaxi, polpa, congelada",-2.35,37.697,2406.936
62,"Canjica, com leite integral","Queijo, ricota","Goiaba, doce em pasta","Arroz, integral, cru","Feijão, carioca, cru","Mandioca, crua","Caldo de carne, tablete","Ovo, de galinha, clara, cozida/10minutos","Refrigerante, tipo limão","Berinjela, crua","Manjuba, com farinha de trigo, frita","Iogurte, sabor pêssego","Farinha, de mandioca, crua","Margarina, com óleo interesterificado, com sal (65%de lipídeos)","Pinha, crua",-2.4,39.852999999999994,2415.898
